Comment,Time Stamp (sec),Temperature (K),Mag. Field (Oe),Pressure (Torr),Temp. Status (code),Mag Field Status (code),Chamber Status (code),Wavelength (nM),Track A raw (a.u.),Track A raw + off (a.u.),Track A mod (a.u.),Track A mod + off (a.u.),Track B raw (a.u.),Track B raw + off (a.u.),Track B mod (a.u.),Track B mod + off (a.u.),Track A+B raw (a.u.),Track A+B raw + off (a.u.),Track A+B mod (a.u.),Track A+B mod + off (a.u.),Raman Shift (cm-1),Plot number,Exposure (sec),Num Exposures,Cycle (sec),Grating,Rayleigh Wavelength (nM),Laser Power (mW),QMap1,QMap2,QMap3,QMap4,QMap5,QMap6,QMap7,QMap8,QMap9,QMap10,QMap11,QMap12,QMap13,QMap14,QMap15,QMap16
,3791213629.80353000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,288.1,12116,12116,188,188,13278,13278,21342,21342,25394,25394,20243,20243,-15917.1,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80354000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,288.3,12038,12038,110,110,13140,13140,21430,21430,25178,25178,20346,20346,-15887.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80355000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,288.6,12085,12085,157,157,13126,13126,21644,21644,25211,25211,20700,20700,-15858.2,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80356000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,288.8,12057,12057,129,129,13241,13241,21990,21990,25298,25298,21109,21109,-15828.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80357000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,289.0,12053,12053,125,125,13137,13137,22118,22118,25190,25190,21325,21325,-15799.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80358000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,289.3,12025,12025,97,97,13319,13319,22535,22535,25344,25344,21804,21804,-15770.4,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80359000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,289.5,12094,12094,166,166,13136,13136,22589,22589,25230,25230,22017,22017,-15741.2,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80360000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,289.8,12055,12055,127,127,13214,13214,22906,22906,25269,25269,22384,22384,-15712.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80361000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,290.0,12052,12052,125,125,13284,13284,23218,23218,25336,25336,22781,22781,-15682.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80362000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,290.3,12083,12083,156,156,13222,13222,23400,23400,25305,25305,23081,23081,-15653.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80363000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,290.5,11995,11995,68,68,13223,13223,23647,23647,25218,25218,23326,23326,-15624.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80364000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,290.8,12031,12031,104,104,13099,13099,23771,23771,25130,25130,23572,23572,-15595.9,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80365000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,291.0,12020,12020,93,93,13193,13193,24116,24116,25213,25213,23991,23991,-15567.0,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80366000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,291.2,12035,12035,108,108,13221,13221,24397,24397,25256,25256,24371,24371,-15538.1,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80367000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,291.5,12094,12094,167,167,13178,13178,24609,24609,25272,25272,24725,24725,-15509.3,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
,3791213629.80368000,299.842712402344,0.0912724211812019,7.72267913818359,1,4,1,291.7,12006,12006,79,79,13227,13227,24915,24915,25233,25233,25026,25026,-15480.6,1,1,20,1,1,532,0,,,,,,,,,,,,,,,,
