Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3790608213.745,55.0254230499268,24.968297958374,-3.05464607960974E-6,1.73011184693602E-7,1,20.0100484152476,40.0298881530762,1.99248022256269,13.6599997058511,-1.65280433643426E-5,-3.31003943508918E-6,0.25,7.21609944629751E-8,-2.98480467276305E-6,-5.78021214956268E-8,55.0302772521973,55.0302772521973,24.968297958374,24.968297958374,59.2419703580639,19.990664972528,2.21856045722961,0,0,0,801,55.0204124450684,1,4,1,2.18048095703125,46.4320640563965,,,,,,,,,,,,,,,,
,3790608373.75,56.0476493835449,24.9659738540649,-2.77251605432027E-6,1.97210442045099E-7,1,20.0100484152476,40.0298881530762,1.99248146896875,13.6599997058511,-1.49084606630939E-5,-3.52637418469475E-6,0.25,-3.22959259585462E-8,-2.70930472826477E-6,-1.46379479052547E-7,56.059944152832,56.059944152832,24.9636497497559,24.968297958374,59.5139770827563,19.9847663751245,2.22218751907349,0,0,0,801,56.0353546142578,1,4,1,2.19451904296875,49.8533744812012,,,,,,,,,,,,,,,,
,3790608533.859,57.0531196594238,24.9682970046997,-2.14388759832029E-6,1.98009796509706E-7,1,20.0100484152476,40.0298881530762,1.99238097035405,13.6599997058511,-1.15318310356141E-5,-2.78779376488601E-6,0.25,-3.70088399893827E-8,-2.09766302920055E-6,-1.23709279291899E-7,57.0677146911621,57.0677146911621,24.9636497497559,24.9729442596436,59.9399646257371,19.9759849750034,2.22708082199097,0,0,0,801,57.0385246276855,1,4,1,2.18353271484375,51.808406829834,,,,,,,,,,,,,,,,
,3790608693.9125,58.0538005828857,24.9566793441772,-2.05502145992223E-6,2.20213397007616E-7,1,20.0100484152476,40.0298881530762,1.99215350464368,13.6599997058511,-1.07779888932208E-5,-3.97817745683871E-6,0.25,-2.77796785321966E-7,-2.00387570373621E-6,-3.54921587790805E-7,58.066520690918,58.066520690918,24.9543571472168,24.9590015411377,59.946217653891,19.9661843625065,2.23162221908569,0,0,0,801,58.0410804748535,1,4,1,2.18460083007813,52.2971649169922,,,,,,,,,,,,,,,,
,3790608853.9795,59.0571899414062,24.9706211090088,-1.52933943973772E-6,1.8495282277425E-7,1,20.0100484152476,40.0298881530762,1.99212159105868,13.6700002476573,-8.56853140605933E-6,-5.49920399423404E-7,0.25,2.38014356063835E-7,-1.5110323185312E-6,1.73312596722823E-7,59.0735092163086,59.0735092163086,24.968297958374,24.9729442596436,59.7961449781986,19.9546882444377,2.2368016242981,0,0,0,801,59.0404205322266,1,4,1,2.18048095703125,53.2746849060059,,,,,,,,,,,,,,,,
,3790609014.1135,60.0591583251953,24.9706211090088,1.10401835590822E-7,2.08887524490619E-8,1,20.0100484152476,40.0298881530762,1.99185045022719,13.6599997058511,-1.75453823978788E-6,1.07693749226862E-5,0.25,1.96154425949568E-6,3.24547584460817E-8,1.93280550571796E-6,60.0739784240723,60.0739784240723,24.9636497497559,24.9775924682617,59.9798276802179,19.9470209966356,2.2417688369751,0,0,0,801,60.0437355041504,1,4,1,2.1759033203125,53.7634429931641,,,,,,,,,,,,,,,,
,3790609174.1825,61.0588493347168,24.968297958374,-1.02242986625186E-6,2.13880653922169E-7,1,20.0100484152476,40.0298881530762,1.99197938464812,13.6599997058511,-5.65921913860238E-6,-7.39079878751054E-7,0.25,8.92655011879508E-8,-1.00986296084673E-6,4.89436477243157E-8,61.0737113952637,61.0737113952637,24.968297958374,24.968297958374,60.0634619317756,19.9467566049271,2.2470588684082,0,0,0,801,61.0439872741699,1,4,1,2.17819213867187,54.2522010803223,,,,,,,,,,,,,,,,
,3790609334.2575,62.0609893798828,24.9729452133179,-1.34517902920577E-6,2.7524976619607E-7,1,20.0100484152476,40.0298881530762,1.99180892586641,13.6599997058511,-6.73252545870005E-6,-4.25474161149819E-6,0.25,-4.87120982696546E-7,-1.30754707146513E-6,-5.30309936260373E-7,62.0768203735352,62.0768203735352,24.968297958374,24.9775924682617,59.9618502242756,19.935795932757,2.25180912017822,0,0,0,801,62.0451583862305,1,4,1,2.17498779296875,54.7409591674805,,,,,,,,,,,,,,,,
,3790609494.3015,63.0605392456055,24.9799165725708,-8.10725648781842E-8,2.27910614424542E-7,1,20.0100484152476,40.0298881530762,1.99162699689027,13.6700002476573,-1.33105015960173E-7,-1.50552303184947E-6,0.25,-2.58828930428511E-7,-7.05173204845005E-8,-2.58339514951533E-7,63.0758285522461,63.0758285522461,24.9775924682617,24.9822406768799,60.057990532141,19.9340188269183,2.25679135322571,0,0,0,801,63.0452499389648,1,4,1,2.18292236328125,54.7409591674805,,,,,,,,,,,,,,,,
,3790609654.4925,64.0611267089844,24.9868869781494,1.57490831109028E-8,4.83128881114076E-7,1,20.0100484152476,40.0298881530762,1.99169374999333,13.6599997058511,4.20802613925588E-8,2.19502454802211E-7,0.25,3.68407875287126E-8,1.42345198446904E-8,3.69517457992335E-8,64.0759735107422,64.0759735107422,24.9822406768799,24.9915332794189,60.4488047917564,19.9322626897331,2.26218104362488,0,0,0,801,64.0458221435547,1,4,1,2.17498779296875,55.2297172546387,,,,,,,,,,,,,,,,
,3790609814.4685,65.0612106323242,24.8567638397217,2.80348956649817E-7,4.57883127536734E-7,1,20.0100484152476,40.0298881530762,1.9916571441456,13.6599997058511,1.63429635908485E-6,-1.49615948901032E-7,0.25,-8.82804347673516E-8,2.80271116178512E-7,-7.74416278250869E-8,65.0747528076172,65.0747528076172,24.8567638397217,24.8567638397217,59.9454360253717,19.9278895590304,2.26687073707581,0,0,0,801,65.0468902587891,1,4,1,2.1685791015625,55.2297172546387,,,,,,,,,,,,,,,,
,3790609974.616,66.0606346130371,24.8614110946655,2.56173954472139E-7,1.10316553724259E-6,1,20.0100484152476,40.0298881530762,1.99161007132909,13.6599997058511,1.02309340836201E-6,2.04219119542941E-6,0.25,3.18471528595595E-7,2.42572457389699E-7,3.2395668658982E-7,66.0742568969727,66.0742568969727,24.8567638397217,24.8660583496094,60.0837842732756,19.9248986234401,2.27158498764038,0,0,0,801,66.0470123291016,1,4,1,2.17498779296875,55.2297172546387,,,,,,,,,,,,,,,,
,3790610134.716,67.0601196289063,24.8590869903564,3.440990049707E-7,3.4757776118852E-7,1,20.0100484152476,40.0298881530762,1.9916259256215,13.6599997058511,1.93351820544869E-6,1.63931039614653E-7,0.25,-4.41511294341517E-8,3.42303986092282E-7,-3.21710982314826E-8,67.0731506347656,67.0731506347656,24.8567638397217,24.8614101409912,60.2416732341602,19.9279579875727,2.27639746665955,0,0,0,801,67.0470886230469,1,4,1,2.17620849609375,55.2297172546387,,,,,,,,,,,,,,,,
,3790610294.7655,68.0588111877441,24.8497915267944,2.93898220922988E-7,1.90673153840696E-7,1,20.0100484152476,40.0298881530762,1.99147373606145,13.6700002476573,1.72549188597199E-6,-2.0009610755366E-7,0.25,-9.96395573304888E-8,2.94613083681653E-7,-8.91173981388249E-8,68.0703964233398,68.0703964233398,24.8474674224854,24.8521156311035,59.9876439654102,19.9273218742879,2.28159499168396,0,0,0,801,68.0463790893555,1,4,1,2.18231201171875,55.7184753417969,,,,,,,,,,,,,,,,
,3790610454.8765,69.0592041015625,24.8451452255249,6.31710611464117E-7,2.31380376460256E-7,1,20.0100484152476,40.0298881530762,1.99141079509507,13.6599997058511,3.56407425472174E-6,2.5465501401375E-7,0.25,-8.85849483439885E-8,6.29545427428951E-7,-6.75947511364541E-8,69.0700531005859,69.0700531005859,24.8428230285645,24.8474674224854,60.0235988772948,19.9249430533115,2.28588843345642,0,0,0,801,69.0475311279297,1,4,1,2.18017578125,55.7184753417969,,,,,,,,,,,,,,,,
,3790610614.992,70.058292388916,24.9450607299805,8.3525403851888E-7,2.44978391610953E-7,1,20.0100484152476,40.0298881530762,1.99146347421703,13.6599997058511,4.49506895358848E-6,1.37122587032208E-6,0.25,7.21657536809165E-8,8.26970557010531E-7,9.78653335766521E-8,70.06884765625,70.06884765625,24.9450607299805,24.9450607299805,59.8391345467563,19.9260043061733,2.29066300392151,0,0,0,801,70.0472030639648,1,4,1,2.17330932617187,55.7184753417969,,,,,,,,,,,,,,,,
,3790610775.0225,71.0607223510742,24.9473848342896,9.7924804803606E-7,4.27858510735371E-7,1,20.0100484152476,40.0298881530762,1.99157515479748,13.6599997058511,5.47086544648758E-6,6.82034339626019E-7,0.25,-8.35667475801051E-8,9.75425223848949E-7,-5.29820316129962E-8,71.072395324707,71.072395324707,24.9450607299805,24.9497089385986,60.1658552677948,19.9241300746653,2.29516935348511,0,0,0,801,71.0490493774414,1,4,1,2.18063354492187,55.7184753417969,,,,,,,,,,,,,,,,
,3790610935.105,72.0638542175293,24.9404144287109,1.18772750648869E-6,1.99040899119039E-7,1,20.0100484152476,40.0298881530762,1.99150979355993,13.6599997058511,6.86723975086367E-6,-2.50908347242695E-7,0.25,-2.96900174147582E-7,1.18964261116515E-6,-2.59552935581412E-7,72.0757446289063,72.0757446289063,24.9404144287109,24.9404144287109,60.1252105847948,19.9237227524534,2.29992175102234,0,0,0,801,72.0519638061523,1,4,1,2.17636108398438,55.7184753417969,,,,,,,,,,,,,,,,
,3790611095.2205,73.0667381286621,24.9427375793457,1.09540665192537E-6,2.67532793193867E-7,1,20.0100484152476,40.0298881530762,1.99151447709918,13.6599997058511,6.41890783990668E-6,-6.24657381368703E-7,0.25,-3.44539150690841E-7,1.09971396367133E-6,-3.10638999682796E-7,73.0793838500977,73.0793838500977,24.9357662200928,24.9497089385986,60.1166126710833,19.9234805690602,2.30411863327026,0,0,0,801,73.0534286499023,1,4,1,2.17803955078125,55.2297172546387,,,,,,,,,,,,,,,,
,3790611255.275,74.0704956054687,24.933443069458,1.33576237448544E-6,2.30922115259028E-7,1,20.0100484152476,40.0298881530762,1.99143019552859,13.6599997058511,7.42852024864241E-6,1.14760732399215E-6,0.25,-7.1876260103973E-8,1.33151945878401E-6,-3.33153072250192E-8,74.084358215332,74.084358215332,24.9218254089355,24.9450607299805,60.6489016926795,19.9252751799459,2.30854630470276,0,0,0,801,74.0566329956055,1,4,1,2.17422485351562,55.7184753417969,,,,,,,,,,,,,,,,
,3790611415.2775,75.0729827880859,24.9380912780762,1.72595089557544E-6,2.41909921789337E-7,1,20.0100484152476,40.0298881530762,1.99141351387574,13.6599997058511,9.42553277216311E-6,2.33095985359097E-6,0.25,6.22982641958167E-8,1.71697885258405E-6,1.10292370664523E-7,75.0879287719727,75.0879287719727,24.9264736175537,24.9497089385986,60.1072331288525,19.9243838860725,2.31266593933105,0,0,0,801,75.0581817626953,1,4,1,2.18154907226562,55.7184753417969,,,,,,,,,,,,,,,,
,3790611575.416,76.0744705200195,24.9380903244019,1.51273026792704E-6,2.35422013344031E-7,1,20.0100484152476,40.0298881530762,1.9914104463145,13.6599997058511,8.41107392199139E-6,1.34511988699288E-6,0.25,-7.13400652006633E-8,1.50908791716558E-6,-2.97488559590713E-8,76.089958190918,76.089958190918,24.9357662200928,24.9404144287109,60.1682001533525,19.9233050061313,2.31699323654175,0,0,0,801,76.059196472168,1,4,1,2.174072265625,55.7184753417969,,,,,,,,,,,,,,,,
,3790611735.58,77.0759048461914,24.8869705200195,1.47329095533998E-6,2.26705017144814E-7,1,20.0100484152476,40.0298881530762,1.99148546162212,13.6599997058511,8.30813382688928E-6,7.69082318001122E-7,0.25,-1.66838415286541E-7,1.47297959434056E-6,-1.26965030825818E-7,77.0920562744141,77.0920562744141,24.8846473693848,24.8892936706543,60.024380505814,19.9278398204815,2.32118821144104,0,0,0,801,77.0597534179688,1,4,1,2.18231201171875,55.7184753417969,,,,,,,,,,,,,,,,
,3790611895.579,78.0783653259277,24.8892946243286,1.57626108489006E-6,2.54173829978559E-7,1,20.0100484152476,40.0298881530762,1.99151068351146,13.6599997058511,8.53138469668594E-6,2.56231759210429E-6,0.25,1.3798847660998E-7,1.56824381790828E-6,1.78729940232278E-7,78.0971450805664,78.0971450805664,24.8846473693848,24.8939418792725,60.2150978645064,19.9253331901042,2.32530236244202,0,0,0,801,78.0595855712891,1,4,1,2.16384887695313,55.7184753417969,,,,,,,,,,,,,,,,
,3790612055.7075,79.0791931152344,24.8707046508789,1.51746731569716E-6,3.29988751492721E-7,1,20.0100484152476,40.0298881530762,1.99141903813271,13.6599997058511,8.04886496070317E-6,3.27833527365021E-6,0.25,2.80739000773108E-7,1.50666866056326E-6,3.18768080432564E-7,79.098030090332,79.098030090332,24.7824077606201,24.9590015411377,60.2776281460448,19.9214807214467,2.32936406135559,0,0,0,801,79.0602493286133,1,4,1,2.18124389648438,55.2297172546387,,,,,,,,,,,,,,,,
,3790612215.757,80.079963684082,24.9659738540649,1.86420728205543E-6,2.47742960539556E-7,1,20.0100484152476,40.0298881530762,1.99148394935089,13.6599997058511,1.02597971889683E-5,2.24994271517279E-6,0.25,2.35096864886701E-8,1.85985688309023E-6,6.99438281447118E-8,80.0995559692383,80.0995559692383,24.9636497497559,24.968297958374,60.0962903295833,19.9233119016319,2.33300518989563,0,0,0,801,80.0596084594727,1,4,1,2.17239379882813,55.7184753417969,,,,,,,,,,,,,,,,
